OMEGAWIKI	FGLOSS	SEEALSO	GLOSS	SEMANTICFIELD	DEFINITION	POS	WOLD
8061	buy	-	BUY	Possession	To obtain in exchange for money or goods.	Verb	11.81
8184	cheap	1171283	CHEAP	Possession	Low in price.	Adjective	11.89
8052	coin	-	COIN	Possession	A piece of currency, usually metallic and in the shape of a disc, but sometimes polygonal, or with a hole in the middle.	Noun	11.44
485920	damage	-	DAMAGE	Possession	To put a thing in bad condition by making it suffer some damage.	Verb	11.29
843	debt	-	DEBT	Possession	Something owed to someone else.	Noun	11.64
333618	destroy	-	DESTROY	Possession	To damage beyond use or repair.	Verb	11.27
339161	earn	-	EARN	Possession	To gain (success) through applied effort or work.	Verb	11.79
6036	expensive	-	EXPENSIVE	Possession	Having a high price, cost.	Adjective	11.88
336790	find	-	FIND	Possession	To encounter something by accident or after searching for it.	Verb	11.32
334733	get	-	GET	Possession	To get or obtain an item; to come into the possession of something.	Verb	11.16
6059	give	-	GIVE	Possession	To transfer the possession or holding (of an object) to another person.	Verb	11.21
1160012	give	522528	GIVE BACK	Possession	To transfer a good to the person or people it came from, or to their legal successors.	Verb	11.22
1160012	back	522528	GIVE BACK	Possession	To transfer a good to the person or people it came from, or to their legal successors.	Verb	11.22
992756	grasp	1163227	GRASP	Possession	Get the meaning of something.	Verb	11.14
344354	have	467454	HAVE	Possession	To be in possession (of an object).	Verb	11.11
362921	hire	-	HIRE	Possession	To hold under a lease or rental agreement of goods and services.	Verb	11.77
6060	hold	-	HOLD	Possession	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.	Verb	11.15
1092621	injure	-	INJURE	Possession	To cause physical harm to a living creature.	Verb	11.28
6163	keep	-	KEEP	Possession	To retain possession of something.	Verb	11.17
159035	lend	-	LEND	Possession	To put an item or resource at the disposal of another, with the requirement to have the same or its equivalent returned eventually.	Verb	11.61
476248	let	-	LET GO, SET FREE	Possession	To give freedom; to release from confinement or restraint.	Verb	11.34
476248	go	-	LET GO, SET FREE	Possession	To give freedom; to release from confinement or restraint.	Verb	11.34
476248	set	-	LET GO, SET FREE	Possession	To give freedom; to release from confinement or restraint.	Verb	11.34
476248	free	-	LET GO, SET FREE	Possession	To give freedom; to release from confinement or restraint.	Verb	11.34
6142	look	-	LOOK FOR	Possession	To try to find something.	Verb	11.31
6142	for	-	LOOK FOR	Possession	To try to find something.	Verb	11.31
6832	lose	-	LOSE	Possession	To be beaten or to fail to win in an event.	Verb	11.33
2276	market	-	MARKET	Possession	Place of commercial activity in which articles are bought and sold.	Noun	11.85
470229	merchant	-	MERCHANT	Possession	A businessperson engaged in trade.	Noun	11.84
6408	money	-	MONEY	Possession	An unspecified amount in a currency.	Noun	11.43
1511021	owe	-	OWE	Possession	To be under an obligation to give something back to someone or to perform some action for someone; to have debt.	Verb	11.63
333811	own	-	OWN	Possession	To have rightful possession of property, goods or capital.	Verb	11.12
336535	pay	624824	PAY	Possession	To give money in exchange for goods or services.	Verb	11.65
6897	poor	-	POOR	Possession	With little or no possessions or money.	Adjective	11.52
956366	preserve	5818	PRESERVE	Possession	To protect; to keep; to maintain the condition of.	Verb	11.24
2959	price	-	PRICE	Possession	The amount of money paid per unit for a good or service.	Noun	11.87
963523	rescue	-	RESCUE	Possession	To free from harm or evil.	Verb	11.25
336015	rich	-	RICH	Possession	Possessing in abundance a particular trait.	Adjective	11.51
6439	sell	-	SELL	Possession	To provide goods or services in exchange for money.	Verb	11.82
374731	share	-	SHARE	Possession	To give part of what one has to somebody else to use or consume.	Verb	11.91
3409	shop	-	SHOP	Possession	A place, especially a small building, for the retail sale of goods and services.	Noun	11.86
719375	stingy	-	STINGY	Possession	Excessively unwilling to spend.	Adjective	11.54
341452	store	-	STORE	Possession	An establishment, either physical or virtual, that sells goods or services to the public.	Noun	11.86
7077	take	7079	TAKE	Possession	To grasp with the hands.	Verb	11.13
3714	tax	-	TAX	Possession	An amount of money demanded by a government for its support or for specific facilities or services, most frequently levied upon income, property or sales.	Noun	11.69
339816	thing	-	THING	Possession	That which is considered to exist as a separate entity, quality or concept.	Noun	11.18
3812	trade	506398	TRADE	Possession	The act or the business of buying and selling for money. Mercantile or commercial business in general or the buying and selling, or exchanging, of commodities, either by wholesale or retail within a country or between countries. (Source: WESTS)	Verb	11.83
487077	wages	-	WAGES	Possession	A fixed amount of money paid to a worker, usually measured on a monthly or annual basis.	Noun	11.78
478489	weigh	-	WEIGH	Possession	To determine the weight of an object.	Verb	11.92
1173416	all	-	ALL	Quantity	The totality of.	Function word	13.14
904382	alone	-	ALONE	Quantity	Without any others being included or involved.	Adjective	13331
1541108	be	-	BE MANY	Quantity	existence of an indefinite large number of someone or something.	Function word	-
1541108	many	-	BE MANY	Quantity	existence of an indefinite large number of someone or something.	Function word	-
6026	count	626814	COUNT	Quantity	To enumerate the digits of one's numeral system.	Verb	13107
993922	crowd	-	CROWD	Quantity	A large group of people.	Noun	13.19
7005	eight	-	EIGHT	Quantity	The cardinal number occurring after seven and before nine, represented in Roman numerals as VIII, in Arabic numerals as 8.	Function word	13.08
7014	eighteen	-	EIGHTEEN	Quantity	The cardinal number occurring after seventeen and before nineteen, represented in Roman numerals as XVIII and in Arabic numerals as 18.	Function word	-
7022	eighty	-	EIGHTY	Quantity	The cardinal number occurring after seventy-nine and before eighty-one, represented in Roman numerals as LXXX and in Arabic numerals as 80.	Function word	-
7006	eleven	-	ELEVEN	Quantity	The cardinal number occurring after ten and before twelve, represented in Roman numerals as XI, in Arabic numerals as 11.	Function word	13101
6659	empty	-	EMPTY	Quantity	Without content.	Adjective	13.22
8158	enough	-	ENOUGH	Quantity	All that is required, needed, or appropriate.	Function word	13.18
5500	few	-	FEW	Quantity	More than one, but not as many as usual or as expected.	Function word	13.17
7010	fifteen	-	FIFTEEN	Quantity	The cardinal number occurring after fourteen and before sixteen, represented in Roman numerals as XV and in Arabic numerals as 15.	Function word	13103
7019	fifty	-	FIFTY	Quantity	The cardinal number occurring after forty-nine and before fifty-one, represented in Roman numerals as L and in Arabic numerals as 50.	Function word	-
962533	fill	-	FILL	Quantity	To make full.	Verb	-
338524	first	-	FIRST	Quantity	Having no predecessor. The ordinal number corresponding to one.	Function word	13.34
156104	five	5448	FIVE	Quantity	The fifth natural number (5).	Function word	13.05
7018	forty	-	FORTY	Quantity	The cardinal number occurring after thirty-nine and before forty-one, represented in Roman numerals as XL and in Arabic numerals as 40.	Function word	-
6253	four	5447	FOUR	Quantity	The cardinal number occurring after three and before five, represented in Roman numerals as IV, in Arabic numerals as 4.	Function word	13.04
6040	full	-	FULL	Quantity	Containing the most or maximum amount possible in the given available space.	Adjective	13.21
352085	half	-	HALF	Quantity	One of the two equal parts of a whole.	Noun	13.24
6685	hundred	-	HUNDRED	Quantity	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.	Function word	13105
6337	last	-	LAST, FINAL	Quantity	After all the others.	Function word	13.35
6337	final	-	LAST, FINAL	Quantity	After all the others.	Function word	13.35
5423	many	-	MANY	Quantity	An indefinite large number of.	Function word	13.15
950694	more	1379482	MORE	Quantity	[Used in forming the comparative form of many adjectives and almost all comparable adverbs.]	Function word	13.16
6193	nine	6208	NINE	Quantity	The ninth natural number (9).	Function word	13.09
7015	nineteen	-	NINETEEN	Quantity	The cardinal number occurring after eighteen and before twenty, represented in Roman numerals as XIX and in Arabic numerals as 19.	Function word	-
7023	ninety	-	NINETY	Quantity	The cardinal number occurring after eighty-nine and before ninety-one, represented in Roman numerals as XC and in Arabic numerals as 90.	Function word	-
6244	one	5433	ONE	Quantity	The cardinal number that directly follows zero and precedes two, represented in Roman numerals as I, and in Arabic numerals as 1.	Function word	13.01
6485	only	345294	ONLY	Quantity	Nothing more than.	Function word	13.33
8187	pair	-	PAIR	Quantity	Two similar or identical things taken together.	Noun	13.37
345219	part	870987	PART	Quantity	A seperate unit of a larger whole.	Noun	13.23
160850	piece	-	PIECE	Quantity	One object of a set, undivided part of something broken.	Noun	13231
5958	second	-	SECOND	Quantity	That which comes after the first.	Function word	13.36
7004	seven	-	SEVEN	Quantity	The cardinal number occurring after six and before eight, represented in Roman numerals as VII, in Arabic numerals as 7.	Function word	13.07
7021	seventy	-	SEVENTY	Quantity	The cardinal number occurring after sixty-nine and before seventy-one, represented in Roman numerals as LXX and in Arabic numerals as 70.	Function word	-
7003	six	-	SIX	Quantity	The cardinal number occurring after five and before seven, represented in Roman numerals as VI, in Arabic numerals as 6.	Function word	13.06
7020	sixty	-	SIXTY	Quantity	The cardinal number occurring after fifty-nine and before sixty-one, represented in Roman numerals as LX and in Arabic numerals as 60.	Function word	-
5499	some	-	SOME	Quantity	An unspecified quantity or number of.	Function word	13181
6312	ten	-	TEN	Quantity	The cardinal number occurring after nine and before eleven, represented in Roman numerals as X, in Arabic numerals as 10, and in the hexadecimal system (base 16) as A.	Function word	13.1
7979	third	-	THIRD	Quantity	The ordinal form of the cardinal number three.	Function word	13.42
7008	thirteen	-	THIRTEEN	Quantity	The cardinal number occurring after twelve and before fourteen, represented in Roman numerals as XIII and in Arabic numerals as 13.	Function word	-
7017	thirty	-	THIRTY	Quantity	The cardinal number occurring after twenty-nine and before thirty-one, represented in Roman numerals as XXX and in Arabic numerals as 30.	Function word	-
7755	thousand	-	THOUSAND	Quantity	Ten times hundred.	Function word	13106
156096	three	5424	THREE	Quantity	The third natural number (3).	Function word	13.03
1527212	three	-	THREE TIMES	Quantity	Three times.	Function word	13.44
1527212	times	-	THREE TIMES	Quantity	Three times.	Function word	13.44
7007	twelve	-	TWELVE	Quantity	The cardinal number occurring after eleven and before thirteen, represented in Roman numerals as XII and in Arabic numerals as 12.	Function word	13102
7013	twenty	-	TWENTY	Quantity	The cardinal number occurring after nineteen and before twenty-one, represented in Roman numerals as XX and in Arabic numerals as 20.	Function word	13104
7050	twenty	-	TWENTY FIVE	Quantity	The cardinal number occurring after twenty-four and before twenty-six, represented in Roman numerals as XXV and in Arabic numerals as 25.	Function word	-
7050	five	-	TWENTY FIVE	Quantity	The cardinal number occurring after twenty-four and before twenty-six, represented in Roman numerals as XXV and in Arabic numerals as 25.	Function word	-
7049	twenty	-	TWENTY FOUR	Quantity	The cardinal number occurring after twenty-three and before twenty-five, represented in Roman numerals as XXIV and in Arabic numerals as 24.	Function word	-
7049	four	-	TWENTY FOUR	Quantity	The cardinal number occurring after twenty-three and before twenty-five, represented in Roman numerals as XXIV and in Arabic numerals as 24.	Function word	-
7046	twenty	-	TWENTY ONE	Quantity	The cardinal number occurring after twenty and before twenty-two, represented in Roman numerals as XXI and in Arabic numerals as 21.	Function word	-
7046	one	-	TWENTY ONE	Quantity	The cardinal number occurring after twenty and before twenty-two, represented in Roman numerals as XXI and in Arabic numerals as 21.	Function word	-
6389	twice	-	TWICE	Quantity	Two times.	Function word	13.38
6248	two	5425	TWO	Quantity	The cardinal number occurring after one and before three, represented in Roman numerals as II and in Arabic numerals as 2.	Function word	13.02
5653	zero	809644	ZERO	Quantity	The cardinal number that denotes no quantity or amount at all.	Function word	13
1577378	classifier	-	CLASSIFIER FOR PERSONS	Quantity	classifier for persons	Function word	-
1577378	for	-	CLASSIFIER FOR PERSONS	Quantity	classifier for persons	Function word	-
1577378	persons	-	CLASSIFIER FOR PERSONS	Quantity	classifier for persons	Function word	-
1508616	abstain	-	ABSTAIN FROM FOOD	Religion and belief	To refrain from eating	Verb	22.26
1508616	from	-	ABSTAIN FROM FOOD	Religion and belief	To refrain from eating	Verb	22.26
1508616	food	-	ABSTAIN FROM FOOD	Religion and belief	To refrain from eating	Verb	22.26
361044	altar	1314139	ALTAR	Religion and belief	Table for religious ceremonies.	Noun	22.14
1511134	bless	-	BLESS	Religion and belief	To make something blessed; to confer blessing upon.	Verb	22.23
587	church	-	CHURCH	Religion and belief	A building where Christian religious activities take place.	Noun	22131
1511141	circumcision	-	CIRCUMCISION	Religion and belief	The act of excising or amputating the prepuce (the foreskin on penises, the clitoral hood on clitorises)	Noun	22.5
1023517	curse	-	CURSE	Religion and belief	An appeal or prayer for evil or misfortune to befall someone or something.	Verb	22.24
915102	demon	-	DEMON	Religion and belief	Evil spirit or person that is wicked or cruel in their actions.	Noun	22.35
444093	elf	-	ELF	Religion and belief	A mythical creature of Germanic mythology. In Norse mythology they were originally minor gods of nature and fertility. They are often pictured as youthful-seeming men and women of great beauty living in forests and other natural places, underground, or in wells and springs. They have been portrayed to be long-lived or immortal and they have magical powers attributed to them.	Noun	22.44
502976	fairy	-	FAIRY	Religion and belief	one of a class of female supernatural beings, generally conceived as having a diminutive human form and possessing magical powers.	Noun	22.44
525317	ghost	-	GHOST	Religion and belief	The visible disembodied soul of a dead person.	Noun	22.45
871639	god	-	GOD	Religion and belief	A supernatural, typically immortal being with superior powers.	Noun	22.12
6426	heaven	6427	HEAVEN	Religion and belief	Outer space visible from the Earth's surface, infinitely extending above us andlimited by the horizon.	Noun	22.31
372550	hell	-	HELL	Religion and belief	In various religions, the place where sinners are said to go after death.	Noun	22.32
700133	holy	-	HOLY	Religion and belief	specially recognized as or declared sacred by religious use or authority.	Adjective	22.19
871642	idol	-	IDOL	Religion and belief	A representation of a deity, notably a statue or a statuette.	Noun	22.37
872499	initiation	-	INITIATION CEREMONY	Religion and belief	A formal entry into an organization or position or office.	Noun	22.51
872499	ceremony	-	INITIATION CEREMONY	Religion and belief	A formal entry into an organization or position or office.	Noun	22.51
1511137	magic	-	MAGIC	Religion and belief	The use of rituals or actions, especially based on supernatural or occult knowledge, to manipulate or obtain information about the natural world, especially when seen as falling outside the realm of religion; also the forces allegedly drawn on for such practices. A specific ritual or procedure associated with supernatural magic or with mysticism; a spell.	Noun	22.42
6563	mosque	-	MOSQUE	Religion and belief	A place of worship for followers of the Islamic faith.	Noun	22132
1192008	omen	-	OMEN	Religion and belief	A sign that is supposed to reveal whether the future will be favourable or not.	Noun	22.47
1056622	pray	-	PRAY	Religion and belief	To address God or a higher being with praise, thanksgiving, confession or supplication.	Verb	22.17
1509379	preach	-	PREACH	Religion and belief	To deliver a sermon.	Verb	22.22
360238	priest	-	PRIEST	Religion and belief	A minister of the Catholic church empowered to administer the sacraments, most particularly that of the Eucharist or Holy Communion, as well as those of confession and extreme unction.	Noun	22.18
3175	religion	-	RELIGION	Religion and belief	The expression of man's belief in and reverence for a superhuman power recognized as the creator and governor of the universe.	Noun	22.11
479450	sacrifice	-	SACRIFICE	Religion and belief	Something surrendered or lost in order to gain an objective.	Noun	22.15
1511147	shaman	-	SHAMAN, FOLK HEALER	Religion and belief	A traditional (prescientific) faith healer; a member of certain tribal societies who acts as a religious medium between the concrete and spirit worlds.	Noun	-
1511147	folk	-	SHAMAN, FOLK HEALER	Religion and belief	A traditional (prescientific) faith healer; a member of certain tribal societies who acts as a religious medium between the concrete and spirit worlds.	Noun	-
1511147	healer	-	SHAMAN, FOLK HEALER	Religion and belief	A traditional (prescientific) faith healer; a member of certain tribal societies who acts as a religious medium between the concrete and spirit worlds.	Noun	-
353553	sorcerer	-	SORCERER	Religion and belief	A person who practices magic or sorcery.	Noun	22.43
388190	temple	-	TEMPLE	Religion and belief	A house of worship and spiritual activities.	Noun	22.13
353642	witch	-	WITCH	Religion and belief	A female person who uses magic.	Noun	22.43
1505545	worship	-	WORSHIP	Religion and belief	To show devotion to (a deity).	Verb	22.16
375671	bitter	-	BITTER	Sense perception	Having an acrid taste.	Adjective	15.37
1341728	black	-	BLACK	Sense perception	Dark and colourless; not reflecting visible light.	Adjective	15.65
357132	blue	-	BLUE	Sense perception	Having the pure color of a clear sky; the primary color between green and violet in the visible spectrum, an effect of light with a wavelength between 450 and 500 nm.	Adjective	15.67
1511061	blunt	-	BLUNT	Sense perception	Having a thick edge or point, as an instrument; not sharp.	Adjective	15.79
1132622	brackish	-	BRACKISH	Sense perception	(Of water) Salty or slightly salty, as a mixture of fresh and sea water.	Adjective	15.39
333539	bright	-	BRIGHT	Sense perception	Visually dazzling.	Adjective	15.57
335501	clean	-	CLEAN	Sense perception	Not dirty.	Adjective	15.87
5639	cold	-	COLD OF TEMPERATURE	Sense perception	Having a low temperature.	Adjective	15.86
5639	of	-	COLD OF TEMPERATURE	Sense perception	Having a low temperature.	Adjective	15.86
5639	temperature	-	COLD OF TEMPERATURE	Sense perception	Having a low temperature.	Adjective	15.86
661	color	-	COLOR	Sense perception	An attribute of things that results from the light they reflect, transmit, or emit in so far as this light causes a visual sensation that depends on its wavelengths.	Noun	15.61
335607	dark	-	DARK	Sense perception	Having an absolute or (more often) relative lack of light.	Adjective	15.63
1057993	dirt	-	DIRT	Sense perception	Any unclean substance, such as mud, dust, dung etc.	Noun	-
5483	dirty	-	DIRTY	Sense perception	Covered with or containing unpleasant substances such as dirt or grime.	Adjective	15.88
5989	dry	-	DRY	Sense perception	(Almost) free from liquid or moisture.	Adjective	15.84
467089	feel	343166;343171	FEEL	Sense perception	To be in some emotional state.	Verb	15.72
1511050	fragrant	-	FRAGRANT	Sense perception	Sweet-smelling; having a pleasant (usually strong) scent or fragrance.	Adjective	15.25
1504545	frighten	-	FRIGHTEN	Sense perception	To make someone afraid or anxious.	Verb	-
6032	green	-	GREEN	Sense perception	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.	Adjective	15.68
8173	hard	-	HARD	Sense perception	Resistant to pressure.	Adjective	15.74
5999	hear	-	HEAR	Sense perception	To perceive sound with the ear, without necessarily paying attention to it.	Verb	15.41
5451	heavy	-	HEAVY	Sense perception	Of a physical object, having great weight.	Adjective	15.81
5637	hot	-	HOT	Sense perception	Having a high temperature.	Adjective	15.85
1312191	itchy	-	ITCHY	Sense perception	Having a sensation that provokes the need to scratch.	Adjective	-
1502678	light	-	LIGHT COLOR	Sense perception	(of color) having a relatively small amount of color components.	Adjective	15.62
1502678	color	-	LIGHT COLOR	Sense perception	(of color) having a relatively small amount of color components.	Adjective	15.62
452743	light	-	LIGHT WEIGHT	Sense perception	With a small mass, little weight or density; the opposite of heavy.	Adjective	15.82
452743	weight	-	LIGHT WEIGHT	Sense perception	With a small mass, little weight or density; the opposite of heavy.	Adjective	15.82
6576	listen	-	LISTEN	Sense perception	To perceive with the ear (paying attention to what is heard).	Verb	15.42
7550	look	-	LOOK	Sense perception	To actively use one's eyes.	Verb	15.52
1511054	loud	-	LOUD	Sense perception	A sound of great intensity; noisy.	Adjective	15.45
5290	noise	1251677	NOISE	Sense perception	Sound which is unwanted, either because of its effects on humans, its effect on fatigue or malfunction of physical equipment, or its interference with the perception or detection of other sounds.	Noun	15.44
496633	painful	-	PAINFUL	Sense perception	Full of pain; causing uneasiness or distress, either physical or mental.	Adjective	-
1511058	pinch	-	PINCH	Sense perception	To squeeze a small amount of a person's skin and flesh, making it hurt.	Verb	15712
5759	quiet	5761;5763;5760	QUIET	Sense perception	With little or no sound; denoting absence of disturbing noise.	Adjective	15.46
1333710	red	-	RED	Sense perception	Having red as its colour.	Adjective	15.66
846773	rough	-	ROUGH	Sense perception	Having a texture that has much friction. Not smooth.	Adjective	15.76
475116	salty	1384111	SALTY	Sense perception	Containing salt.	Adjective	15.36
6003	see	-	SEE	Sense perception	To perceive [images] with the eye, without necessarily paying attention to them.	Verb	15.51
5987	sharp	-	SHARP	Sense perception	Having the ability to cut easily.	Adjective	15.78
335797	shine	-	SHINE	Sense perception	To emit light.	Verb	15.56
446099	show	-	SHOW	Sense perception	To have somebody see something.	Verb	15.55
6520	smell	-	SMELL, PERCEIVE	Sense perception	To perceive the presence of molecules in the air by inhaling them through the nose.	Verb	15.22
6520	perceive	-	SMELL, PERCEIVE	Sense perception	To perceive the presence of molecules in the air by inhaling them through the nose.	Verb	15.22
6521	smell	-	SMELL, STINK	Sense perception	To give off a smell that can be perceived by the nose.	Verb	15.21
6521	stink	-	SMELL, STINK	Sense perception	To give off a smell that can be perceived by the nose.	Verb	15.21
5487	smooth	-	SMOOTH	Sense perception	Not rough; having a surface texture that lacks friction.	Adjective	15.77
1511046	sniff	-	SNIFF	Sense perception	To make a short, audible inhalation, through the nose, as if to smell something.	Verb	15212
7907	soft	-	SOFT	Sense perception	A state of consistency allowing alterations of form with ease, no big force required, to bring things into something of this state (such as e.g. soaked loam or clay soil).	Adjective	15.75
7469	sound	-	SOUND	Sense perception	To produce a sound.	Noun	15.44
838324	sour	-	SOUR	Sense perception	Having an acid, sharp or tangy taste.	Adjective	15.38
1089734	stinking	-	STINKING	Sense perception	Having a bad smell.	Adjective	15.26
336426	sweet	-	SWEET	Sense perception	Having the taste characteristic of sugar or honey.	Adjective	15.35
1051228	taste	-	TASTE	Sense perception	To try the flavor or quality of something.	Verb	15.31
8232	touch	-	TOUCH	Sense perception	To be in physical contact with.	Verb	15.71
5485	warm	-	WARM	Sense perception	Having a temperature slightly higher than usual, still pleasant.	Adjective	15851
7027	wet	-	WET	Sense perception	Covered with or impregnated with liquid.	Adjective	15.83
5825	white	5872	WHITE	Sense perception	Bright and colourless; reflecting equal quantities of all frequencies of visible light.	Adjective	15.64
1511065	wrinkled	-	WRINKLED	Sense perception	Uneven, with many furrows and prominent points, often in reference to the skin or hide of animals.	Adjective	15.89
6031	yellow	-	YELLOW	Sense perception	Having the colour of a yolk, a lemon or gold.	Adjective	15.69
5988	dull	-	DULL	Sense perception	Lacking the ability to cut easily; not sharp.	Adjective	-
432931	boundary	-	BOUNDARY	Social and political relations	The dividing line or location between two areas.	Noun	19.17
1508307	chieftain	-	CHIEFTAIN	Social and political relations	The leader/ruler of a tribe/clan	Noun	19.24
4418	citizen	-	CITIZEN	Social and political relations	A native or naturalized member of a state or nation who owes allegiance, bears responsibilities and obtains rights, including protection, from the government.	Noun	19.37
1508311	clan	-	CLAN	Social and political relations	Extended family	Noun	19.23
957698	command	-	COMMAND	Social and political relations	That which is enjoined or ordered to one or several persons by a superior authority.	Verb	19.45
155053	compound	-	COMPOUND	Social and political relations	An enclosure of residences and other buildings.	Noun	-
5671	country	1407449	COUNTRY	Social and political relations	A political entity asserting ultimate authority over a geographical area.	Noun	19.11
707480	custom	-	CUSTOM	Social and political relations	A pattern of behavior inherited or acquired through frequent repetition.	Noun	19.61
5882	enemy	5892	ENEMY	Social and political relations	Someone who is hostile to, feels hatred towards, opposes the interests of, or intends injury to someone else.	Noun	19.52
1511095	freeman	-	FREEMAN	Social and political relations	A free man, one who is not a serf or slave.	Noun	19.44
5793	friend	5795	FRIEND	Social and political relations	A person other than a family member, spouse or lover whose company one enjoys and towards whom one feels affection.	Noun	19.51
1511088	govern	-	GOVERN	Social and political relations	To make and administer the public policy and affairs of; to exercise sovereign authority in.	Verb	19.31
7254	guest	-	GUEST	Social and political relations	A person that visits and stays at a house, usually for one or more nights.	Noun	19.56
830463	help	-	HELP	Social and political relations	To give assistance or aid to.	Verb	19.58
638743	host	-	HOST	Social and political relations	A person or organization responsible for running an event.	Noun	19.57
6588	invite	8488;6581;1200495	INVITE	Social and political relations	To request or ask for the presence or participation of someone.	Verb	19565
6303	king	-	KING	Social and political relations	A male member of a Royal Family and supreme ruler of his nation.	Noun	19.32
1077778	liberate	-	LIBERATE	Social and political relations	To set free from the power of another.	Verb	19445
1511091	master	-	MASTER	Social and political relations	Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.	Noun	19.41
7643	meet	343877	MEET	Social and political relations	To collect in one place, usually for a purpose.	Verb	19.65
1162698	native	-	NATIVE COUNTRY	Social and political relations	One’s country of birth.	Noun	19.12
1162698	country	-	NATIVE COUNTRY	Social and political relations	One’s country of birth.	Noun	19.12
5820	neighbour	-	NEIGHBOUR	Social and political relations	A person living in a house that is adjacent or nearby another person's house.	Noun	19.54
154801	noble	-	NOBLE	Social and political relations	Someone of aristocratic blood.	Noun	19.36
6686	obey	992545	OBEY	Social and political relations	To do as you are told.	Verb	19.46
493103	order	1506418	ORDER	Social and political relations	To express as instruction to be executed by the receiver, in accordance with an authority acknowledged by him.	Verb	19.45
345923	people	1137349	PEOPLE	Social and political relations	A group of persons forming or belonging to a particular nation, class, ethnic group, country, family, etc.	Noun	19.21
431335	permit	1504322	PERMIT	Social and political relations	To approve a specific action.	Verb	19.47
996296	plot	-	PLOT	Social and political relations	Agreement on a secret plot.	Noun	19.63
6391	prevent	-	PREVENT	Social and political relations	To avoid the occurrence of an event; to stop from doing something or being in a certain state.	Verb	19.59
658684	prostitute	-	PROSTITUTE	Social and political relations	A woman who sells sexual services for money.	Noun	19.72
7805	quarrel	-	QUARREL	Social and political relations	A loud or noisy verbal confrontation between two or more people.	Noun	19.62
5708	queen	-	QUEEN	Social and political relations	A female monarch.	Noun	19.33
7797	rule	-	RULE	Social and political relations	To exercise power or authority over a person, a group of persons, animals, territories or an organization.	Verb	19.31
7262	score	-	SCORE	Social and political relations	The final or running total of points gained or won (by an individual or team) in a game, sports match or other competitive event.	Noun	-
1504891	servant	-	SERVANT	Social and political relations	A person performing duties for others. For example a person employed in a household which cares about the domestic duties.	Noun	19.43
350300	slave	-	SLAVE	Social and political relations	A person who is owned and forced to work, usually without pay, by another.	Noun	19.42
346995	stranger	-	STRANGER	Social and political relations	Someone who is not known.	Noun	19.55
5974	town	-	TOWN	Social and political relations	An area with residential districts, shops and amenities, and its own local government.	Noun	19.15
3968	village	687459	VILLAGE	Social and political relations	A group of houses and other buildings, such as a church, a school and some shops, which is smaller than a town, usually in the countryside.	Noun	19.16
5663	walking	-	WALKING STICK	Social and political relations	An object, specifically for providing support when walking.	Noun	19.25
5663	stick	-	WALKING STICK	Social and political relations	An object, specifically for providing support when walking.	Noun	19.25
7064	above	-	ABOVE	Spatial relations	In or to a higher place; higher than; on or over the upper surface.	Function word	12081
6944	after	-	AFTER	Spatial relations	Subsequent; following in time; later than.	Function word	12.01
6078	at	-	AT	Spatial relations	With very little distance to or in a particular place or location.	Function word	12013
1108044	atop	-	ATOP	Spatial relations	In a higher position, with respect to a lower one.	Function word	-
7785	ball	7782	BALL	Spatial relations	An object, generally spherical, used for playing games.	Noun	12.83
8159	before	-	BEFORE	Spatial relations	At a time before that.	Function word	12.04
6945	behind	-	BEHIND	Spatial relations	At the back of.	Function word	12011
6199	below	-	BELOW, UNDER	Spatial relations	Lower in spatial position than.	Function word	12.07
6199	under	-	BELOW, UNDER	Spatial relations	Lower in spatial position than.	Function word	12.07
752575	beside	-	BESIDE	Spatial relations	Having the position next to a given place, location or object	Function word	12.02
334412	between	-	BETWEEN	Spatial relations	In the position or interval that separates two things.	Function word	-
5437	big	-	BIG	Spatial relations	Of a great size; the weakest sense of great size.	Adjective	12.55
334481	bottom	366521	BOTTOM	Spatial relations	The part furthest in the direction toward which an unsupported object would fall.	Noun	12.34
5547	change	5546	CHANGE	Spatial relations	To make different.	Verb	12.93
6135	circle	-	CIRCLE	Spatial relations	A two-dimensional, geometric shape that is made up of every point on a plane which is equidistant from the centre. May be drawn with a pair of compasses.	Noun	12.82
1404011	corner	7729	CORNER	Spatial relations	The area around the point where two converging walls meet.	Noun	12.76
342543	cover	-	COVER	Spatial relations	To place something over or upon to conceal or protect.	Verb	12.26
1507521	crooked	-	CROOKED	Spatial relations	Opposite of straight	Adjective	12.74
5908	cross	-	CROSS	Spatial relations	A geometrical figure consisting of two straight lines or bars intersecting each other such that at least one of them is bisected by the other.	Noun	12.77
6535	deep	-	DEEP	Spatial relations	Having a bottom or base that is far away from the top.	Adjective	12.67
486237	divide	-	DIVIDE	Spatial relations	To split or separate something into two or more parts.	Verb	12232
5797	down	-	DOWN	Spatial relations	From an higher position to a lower one.	Function word	12.03
8131	east	-	EAST	Spatial relations	One of the four principal compass points, specifically 90°, conventionally directed to the right on maps. The direction of the rising sun.	Noun	12.45
366432	edge	-	EDGE	Spatial relations	The boundary of a surface.	Noun	12353
