OMEGAWIKI	WOLD	GLOSS	SEMANTICFIELD	DEFINITION	POS
6032	15.68	GREEN	Sense perception	Having green as its colour; having the hue of that portion of the visible spectrum lying between yellow and blue, evoked in the human observer by radiant energy with wavelengths of approximately 490 to 570 nanometers.	Adjective
6858	16.32	GRIEF	Emotions and values	Mental suffering or pain caused by injury, loss, or despair.	Noun
441895	5.56	GRIND	Food and drink	To break something into small pieces by pressing it flat, or grinding it to powder.	Verb
336417	16.39	GROAN	Emotions and values	a low, guttural sound of frustration	Verb
154737	12.53	GROW	Spatial relations	(For a living being) To become bigger.	Verb
866813	20.471	GUARD	Warfare and hunting	A person who protects or watches over something.	Noun
8518	17.171	GUESS	Cognition	To succeed to know, or discover, by way of surmises.	Verb
7254	19.56	GUEST	Social and political relations	A person that visits and stays at a house, usually for one or more nights.	Noun
692374	21.35	GUILTY	Law	having committed an offense, crime, violation, or wrong, especially against moral or penal law.	Adjective
1295456	4.271	GUMS	The body	The mucosal tissue that partly lies over the teeth in the mouth.	Noun
6428	20.28	GUN	Warfare and hunting	A bullet firing weapon.	Noun
5824	4.461	GUTS	The body	The internal organs of an animal.	Noun
446278	4.14	HAIR	The body	The collection or mass of hair on a person's head except the face.	Noun
352085	13.24	HALF	Quantity	One of the two equal parts of a whole.	Noun
6183	9.49	HAMMER	Basic actions and technology	A tool with a heavy head and a handle used for pounding.	Noun
987151	7.66	HAMMOCK	The house	A swinging couch or bed, usually made of netting or canvas about six feet (1.8 m) wide, suspended by clews or cords at the ends.	Noun
5616	4.33	HAND	The body	That part of the fore limb below the forearm or wrist in primates (including humans).	Noun
436343	6.81	HANDKERCHIEF	Clothing and grooming	A piece of cloth, usually square and often fine and elegant, carried for wiping the face, nose or hands.	Noun
1510949	9.341	HANG UP	Basic actions and technology	To put up to hang	Verb
6246	16.23	HAPPY	Emotions and values	Having a feeling of satisfaction, enjoyment or well-being, often arising from a positive situation or set of circumstances.	Adjective
8173	15.74	HARD	Sense perception	Resistant to pressure.	Adjective
535092	3.863	HARE	Animals	Mammal of the family hares and rabbits (Leporidae) with long ears, short tail and hindlegs which are shorter than the forelegs and permit running quickly.	Noun
1722	8.41	HARVEST	Agriculture and vegetation	The amount or measure of the crop gathered in a season.	Noun
344283	6.55	HAT	Clothing and grooming	An item of clothing intended to cover the head made from material hard enough to have a shape independant of the skull, and most commonly with a rim.	Noun
6573	16.41	HATE	Emotions and values	To dislike intensely; to feel strong hostility towards.	Verb
344354	11.11	HAVE	Possession	To be in possession (of an object).	Verb
7269	4.67	HAVE SEX	The body	To take part in sexual activity (most commonly sexual intercourse) with another person for the purposes of sexual pleasure.	Verb
1510384	3.585	HAWK	Animals	A predatory bird of the family Accipitridae.	Noun
1510854	8.52	HAY	Agriculture and vegetation	Grass or cut and dried for use as animal fodder.	Noun
5454	2.931	HE	Kinship	A male other; the male previously mentioned; himself.  3rd person singular masculine subject pronoun.	Function word
1505730	3.37	HE-GOAT	Animals	A male goat.	Noun
1505714	2.93	HE/SHE/IT	Kinship	Third person singular pronoun, regardless of gender/sex.	Function word
5527	4.2	HEAD	The body	The part of the body of an animal or human which contains the brain, mouth and main sense organs.	Noun
1510396	3.811	HEAD LOUSE	Animals	A parasitic insect which lives among the hairs on the head of a human and feeds on blood.	Noun
1510556	6.78	HEADBAND	Clothing and grooming	A strip of fabric worn around the head or a hair-accessory, made of a flexible material and curved like a horseshoe, for holding one's hair back.	Noun
1510560	6.78	HEADDRESS	Clothing and grooming	A decorative covering or ornament worn on the head.	Noun
5901	4.83	HEALTHY	The body	In good physical and mental condition; free from disease.	Adjective
5999	15.41	HEAR	Sense perception	To perceive sound with the ear, without necessarily paying attention to it.	Verb
5475	4.44	HEART	The body	A muscular organ that pumps blood through the body.	Noun
6426	22.31	HEAVEN	Religion and belief	Outer space visible from the Earth's surface, infinitely extending above us andlimited by the horizon.	Noun
5451	15.81	HEAVY	Sense perception	Of a physical object, having great weight.	Adjective
422122	4.372	HEEL	The body	The part of the foot on the backside where it becomes the leg.	Noun
372550	22.32	HELL	Religion and belief	In various religions, the place where sinners are said to go after death.	Noun
691679	20.33	HELMET	Warfare and hunting	any of various forms of protective head covering worn e.g.  by soldiers, firefighters, divers, cyclists, etc.	Noun
830463	19.58	HELP	Social and political relations	To give assistance or aid to.	Verb
6311	3.54	HEN	Animals	A female chicken.	Noun
1505722	3.18	HERDSMAN	Animals	A man who looks after a herd of animals.	Noun
1287831	24.09	HERE	Miscellaneous function words	at this place	Function word
342235	3.583	HERON	Animals	A long-legged, long-necked wading bird of the family Ardeidae.	Noun
1339563	4.521	HICCOUGH	The body	To have spasms of the diaphragm.	Verb
161806	12.27	HIDE	Spatial relations	To put something in a place where it will be harder to discover or out of sight.	Verb
1505751	4.12	HIDE	The body	Skin of an animal.	Noun
5562	12.31	HIGH	Spatial relations	Having relatively great height.	Adjective
1769	1.354	HIGH TIDE	The physical world	The level of water when the tide is at its highest level.	Noun
1772	1.22	HILL	The physical world	A natural elevation of the land surface, usually rounded.	Noun
707216	4.463	HIP	The body	The outward-projecting parts of the pelvis and top of the femur and the overlying tissue.	Noun
362921	11.77	HIRE	Possession	To hold under a lease or rental agreement of goods and services.	Verb
6044	9.21	HIT	Basic actions and technology	To give one blow or more with a swift movement.	Verb
1506109	8.25	HOE	Agriculture and vegetation	tool with handle and blade with two or more prongs used for weeding, raking, etc.	Noun
6060	11.15	HOLD	Possession	To grasp or grip (particularly with the hand) so that the object does not end up at the surface below.	Verb
6857	12.85	HOLE	Spatial relations	A, often round, piece of nothingness in some solid.	Noun
1101921	9.461	HOLLOW OUT	Basic actions and technology	To make a hole in something.	Verb
700133	22.19	HOLY	Religion and belief	specially recognized as or declared sacred by religious use or authority.	Adjective
404630	5.84	HONEY	Food and drink	A viscous, sweet substance produced from nectar or honeydew by bees.	Noun
461013	12.75	HOOK	Spatial relations	A rod bent into a curved shape, for catching, holding, or sustaining anything.	Noun
475239	16.63	HOPE	Emotions and values	To want something to happen.	Verb
401769	18.73	HORN	Speech and language	A wind instrument made of a wound copper tube with a wide sound bucket and valves.	Noun
5981	4.17	HORN	The body	A hard growth of keratin that protrudes from the top of the head of certain animals.	Noun
1780	3.41	HORSE	Animals	A large animal with four legs of the Equus caballus species which people ride on or use for carrying things or pulling vehicles.	Noun
1782	23.2	HOSPITAL	Modern world	A place where people who are ill or injured are treated and taken care of by doctors and nurses.	Noun
638743	19.57	HOST	Social and political relations	A person or organization responsible for running an event.	Noun
5637	15.85	HOT	Sense perception	Having a high temperature.	Adjective
5874	14.51	HOUR	Time	A time period of sixty minutes; one twenty-fourth of a day.	Noun
5517	7.12	HOUSE	The house	The abode of a human being, their place of residence.	Noun
5494	17.61	HOW	Cognition	In what way.	Function word
353440	17.62	HOW MANY	Cognition	Which quantity?	Function word
158133	17.63	HOW MUCH	Cognition	In what amount.	Function word
158088	18.19	HOWL	Speech and language	The protracted, mournful cry of a dog or a wolf.	Verb
6685	13.105	HUNDRED	Quantity	The cardinal number occurring after ninety-nine and before one hundred one, represented in Roman numerals as C and in Arabic numerals as 100.	Function word
6046	20.61	HUNT	Warfare and hunting	To chase down prey and (usually) kill it.	Verb
341511	14.23	HURRY	Time	To move or do something at a fast pace.	Verb
5432	2.31	HUSBAND	Kinship	The male partner in a marriage.	Noun
691328	7.13	HUT	The house	a simple roofed shelter, often with one  open side.	Noun
5450	2.91	I	Kinship	The speaker or writer referring to himself or herself alone.	Function word
1837	1.77	ICE	The physical world	The dense substance formed by the freezing of water to the solid state; it commonly occurs in the form of hexagonal crystals.	Noun
6580	17.19	IDEA	Cognition	A plan or notion that is formed and exists in the mind as a result of mental activity.	Noun
871642	22.37	IDOL	Religion and belief	A representation of a deity, notably a statue or a statuette.	Noun
6076	17.53	IF	Cognition	[The introduction of a condition or decision.]	Function word
1229900	17.172	IMITATE	Cognition	To follow as a model or a pattern.	Verb
904194	14.19	IMMEDIATELY	Time	In an immediate manner; instantly or without delay.	Function word
6077	12.012	IN	Spatial relations	Contained or encased by.	Function word
8160	12.041	IN FRONT OF	Spatial relations	In front of in space	Function word
872499	22.51	INITIATION CEREMONY	Religion and belief	A formal entry into an organization or position or office.	Noun
743982	23.23	INJECTION	Modern world	A method of putting liquid into the body with a hollow needle and a syringe which is pierced through the skin long enough for the material to be forced into the body.	Noun
1092621	11.28	INJURE	Possession	To cause physical harm to a living creature.	Verb
1162733	21.36	INNOCENT	Law	Not guilty.	Adjective
1959	3.81	INSECT	Animals	A class of the Arthropoda typically having a segmented body with an external chitinous covering, a pair of compound eyes, a pair of antennae, three pairs of mouthparts, and two pairs of wings.	Noun
6571	12.05	INSIDE	Spatial relations	Within the confines of a building.	Function word
516310	17.41	INTENTION	Cognition	An anticipated outcome that is intended to obtain or that guides your planned actions.	Noun
950344	4.461	INTESTINES	The body	The alimentary canal of an animal through which food passes after having passed all stomachs.	Noun
6588	19.565	INVITE	Social and political relations	To request or ask for the presence or participation of someone.	Verb
2024	9.67	IRON	Basic actions and technology	A malleable ductile silvery-white ferromagnetic metallic element with symbol Fe and atomic number 26, occurring principally in haematite and magnetite. It is widely used for structural and engineering purposes.	Noun
2031	1.25	ISLAND	The physical world	A land mass, especially one smaller than a continent, entirely surrounded by water.	Noun
1370660	2.933	IT	Kinship	An inanimate object, an animate object of unspecified sex, or a subject that is previously mentioned.	Function word
1311851	4.854	ITCH	The body	An unpleasant sensation on the skin that provokes the desire to scratch.	Noun
5513	3.9	JAGUAR	Animals	A carnivorous spotted large cat native to South and Central America.	Noun
348120	4.207	JAW	The body	Either of the two opposable structures forming, or near the entrance to, the mouth.	Noun
980918	16.44	JEALOUSY	Emotions and values	A jealous feeling, disposition, state, or mood.	Noun
441479	6.72	JEWEL	Clothing and grooming	A precious stone such as a diamond, a sapphire or an agate.	Noun
7069	12.22	JOIN	Spatial relations	To join or unite, as one thing to another, or as several particulars, so as to increase the number, augment the quantity, enlarge the magnitude, or so as to form into one aggregate; to sum up; to put together mentally, as, to add numbers; to add up a column.	Verb
365034	21.18	JUDGE	Law	A person who decides the fate of someone or something that has been called into question.	Noun
4571	21.17	JUDGMENT	Law	The official and authentic decision of a court of justice upon the respective rights and claims of the parties to an action or suit therein litigated and submitted to its determination, the final decision of the court resolving the dispute and determining the rights and obligations of the parties.	Noun
1505778	5.34	JUG	Food and drink	A container for holding and pouring liquids with a handle and a spout.	Noun
7622	10.43	JUMP	Motion	To propel oneself rapidly upward such that momentum causes the body to become airborne.	Verb
1355026	3.88	KANGAROO	Animals	A marsupial from the family Macropodidae having powerful hind legs and large feet for leaping.	Noun
6163	11.17	KEEP	Possession	To retain possession of something.	Verb
361382	5.27	KETTLE	Food and drink	A metal container used to boil any kind of liquid.	Noun
6149	7.24	KEY	The house	An object designed to be able to open (and usually close) a lock.	Noun
500899	10.431	KICK	Motion	To strike somebody or something with the foot.	Verb
914854	3.38	KID	Animals	A young goat.	Noun
155634	4.451	KIDNEY	The body	An organ in the body that produces urine.	Noun
6023	4.76	KILL	The body	To put to death; to end a life.	Verb
6303	19.32	KING	Social and political relations	A male member of a Royal Family and supreme ruler of his nation.	Noun
158442	16.29	KISS	Emotions and values	To touch with the lips to express love or affection.	Verb
1505815	5.54	KNEAD	Food and drink	To press a dough many times with one's hands.	Verb
5918	4.36	KNEE	The body	In man, the joint in the middle part of the leg.	Noun
1120420	10.412	KNEEL	Motion	To go down on one or both knees.	Verb
1539808	9.23	KNIFE	Basic actions and technology	knife for preparing food	Noun
5873	5.38	KNIFE	Food and drink	A utensil consisting of a sharpened piece of hard material such as steel or other metal, ceramic, glass or stone, usually attached to a handle, that is formed in a manner that allows for cutting softer materials, especially meat or other food.	Noun
342406	9.192	KNOT	Basic actions and technology	A loop of string or any other long flexible material which cannot be untied without pulling part of the string through the loops.	Noun
6004	17.17	KNOW	Cognition	To be certain or sure about something.	Verb
6099	7.37	LADDER	The house	A frame usually portable, of wood, metal, or rope, for ascent and descent, consisting of two vertical side pieces to which are horizontally fastened cross strips or rounds forming steps.	Noun
2058	1.341	LAGOON	The physical world	A body of water cut off from the open sea by coral reefs or sand bars.	Noun
2061	1.33	LAKE	The physical world	An enclosed body of water, usually but not necessarily fresh water, from which the sea is excluded.	Noun
352601	3.29	LAMB	Animals	Young sheep.	Noun
1510490	4.94	LAME	The body	Moving with pain or difficulty on account of injury, defect or temporary obstruction of a function.	Adjective
2062	7.45	LAMP	The house	A device that produces light, such as an electric lamp.	Noun
846608	10.92	LAND	Motion	To descend to a surface, especially from the air.	Verb
2063	1.21	LAND	The physical world	A specified geographical tract of the Earth's surface including all its attributes, comprising its geology, superficial deposits, topography, hydrology, soils, flora and fauna, together with the results of past and present human activity, to the extent that these attributes exert a significant influence on the present and future land utilization.(Source: WHIT)	Noun
5713	18.24	LANGUAGE	Speech and language	A system of communication using the spoken or signed word or using symbols that represent words, signs or sounds.	Noun
1223914	8.991	LARCH	Agriculture and vegetation	A coniferous  tree, of genus Larix, having deciduous leaves	Noun
1510846	8.29	LASSO	Agriculture and vegetation	A long rope with a sliding loop on one end, generally used in ranching to catch cattle and horses.	Noun
6337	13.35	LAST	Quantity	After all the others.	Function word
533044	14.252	LAST	Time	To endure, continue over time.	Verb
433601	7.231	LATCH	The house	A fastening for a door that has a bar that fits into a notch or slot, and is lifted by a lever or string from either side.	Noun
154705	14.17	LATE	Time	After the expected or usual time.	Function word
5876	16.25	LAUGH	Emotions and values	To express pleasure, mirth or derision by peculiar movement of the muscles of the face, particularly of the mouth, causing a lighting up of the face and eyes, and usually accompanied by the emission of explosive or chuckling sounds from the chest and throat.	Verb
4549	21.11	LAW	Law	A body of rules of action or conduct prescribed by a legislative authority, and having binding legal force.	Noun
6424	4.92	LAZY	The body	Unwilling to do work or make an effort.	Adjective
2119	9.68	LEAD	Basic actions and technology	A heavy toxic bluish-white metallic element with symbol Pb and atomic number 82 that is highly malleable; occurs principally as galena and is used in alloys, accumulators, cable sheaths, paints, and as a radiation shield.	Noun
471268	10.64	LEAD	Motion	To be ahead of others, e.g., in a race.	Verb
2124	8.56	LEAF	Agriculture and vegetation	The main organ of photosynthesis and transpiration in higher plants, usually consisting of a flat green blade attached to the stem directly or by a stalk.	Noun
157124	17.24	LEARN	Cognition	To acquire, or attempt to acquire knowledge or an ability to do something.	Verb
2126	6.29	LEATHER	Clothing and grooming	The dressed or tanned hide of an animal, usually with the hair removed.	Noun
7092	10.49	LEAVE	Motion	To move away from a place, a situation or a talk.	Verb
1499731	12.42	LEFT	Spatial relations	Something that is on the left side relative to another object.	Adjective
5665	4.35	LEG	The body	The limb of an animal (including humans) that extends from the groin to the ankle.	Noun
159035	11.61	LEND	Possession	To put an item or resource at the disposal of another, with the requirement to have the same or its equivalent returned eventually.	Verb
476248	11.34	LET GO,SET FREE	Possession	To give freedom; to release from confinement or restraint.	Verb
6590	23.42	LETTER	Modern world	A text that is written to and for a specific person or set of people (and is most commonly sent to them by post).	Noun
1077778	19.445	LIBERATE	Social and political relations	To set free from the power of another.	Verb
730404	23.35	LICENSE PLATE	Modern world	Metal sheet for alphanumerical identification of vehicles, on their front and/or rear parts.	Noun
1510483	4.59	LICK	The body	To stroke with the tongue.	Verb
161769	16.67	LIE	Emotions and values	To knowingly say something that is untrue.	Verb
6005	12.14	LIE	Spatial relations	To rest in a horizontal, static position, usually on another surface.	Verb
1425860	12.14	LIE DOWN	Spatial relations	(For a human or animal) to assume a horizontally extended position on a surface.	Verb
1419171	4.741	LIFE	The body	The state of being.	Noun
156785	10.22	LIFT	Motion	To cause an object to have a higher location than previously.	Verb
452743	15.82	LIGHT	Sense perception	With a small mass, little weight or density; the opposite of heavy.	Adjective
1502678	15.62	LIGHT	Sense perception	(of color) having a relatively small amount of color components.	Adjective
1299599	1.86	LIGHT	The physical world	To cause to undergo fire combustion.	Verb
2158	1.61	LIGHT	The physical world	Electromagnetic radiation that is capable of causing a visual sensation.(Source: CED)	Noun
6811	1.55	LIGHTNING	The physical world	The flash of light caused by the discharge of atmospheric electrical charge.	Noun
1511001	10.451	LIMP	Motion	To walk lamely, as if favouring one leg.	Verb
451773	12.84	LINE	Spatial relations	An infinitely long, infinitely thin, not bent line in geometry.	Noun
389134	6.23	LINEN	Clothing and grooming	A material made from the fibers of the flax plant.	Noun
5961	3.72	LION	Animals	A large cat (Panthera leo) that is native to Africa, Asia and formerly much of Europe.	Noun
154710	4.25	LIP	The body	Either of the two fleshy protrusions around the opening of the mouth.	Noun
6576	15.42	LISTEN	Sense perception	To perceive with the ear (paying attention to what is heard).	Verb
478515	7.11	LIVE	The house	To have permanent residence.	Verb
5476	4.45	LIVER	The body	A large organ in the body that stores and metabolizes nutrients, destroys toxins and produces bile. Responsible for thousands of biochemical reactions.	Noun
2183	3.15	LIVESTOCK	Animals	Cattle, horses, and similar animals kept for domestic use especially on a farm.	Noun
2189	3.96	LIZARD	Animals	Any reptile of the suborder Lacertilia, especially those of the family Lacertidae, typically having an elongated body, four limbs, and a small tail: includes the gechos, iguanas, chameleons, monitors, and slow worms.	Noun
6546	7.23	LOCK	The house	Something used for fastening, which can only be opened with a key or combination.	Noun
5438	12.57	LONG	Spatial relations	Having much distance from one terminating point on an object or an area to another terminating point.	Adjective
7550	15.52	LOOK	Sense perception	To actively use one's eyes.	Verb
6142	11.31	LOOK FOR	Possession	To try to find something.	Verb
7280	6.34	LOOM	Clothing and grooming	A frame or machine (made of wood or other material) in which a weaver forms cloth out of thread; a machine for interweaving yarn or threads into a fabric.	Noun
6832	11.33	LOSE	Possession	To be beaten or to fail to win in an event.	Verb
1511054	15.45	LOUD	Sense perception	A sound of great intensity; noisy.	Adjective
395193	16.27	LOVE	Emotions and values	To have an intense feeling of affection and care towards another person.	Verb
336887	12.32	LOW	Spatial relations	In a position comparatively close to the ground.	Adjective
440739	1.353	LOW TIDE	The physical world	the tide at the point of maximum ebb.	Noun
343542	5.43	LUNCH	Food and drink	Meal usually eaten at midday.	Noun
334158	4.441	LUNG	The body	A biological organ that extracts oxygen from the air.	Noun
1309356	23.19	MACHINE	Modern world	A device able to perform a particular, more or less complex, job.	Noun
833779	17.23	MAD	Cognition	Mentally ill.	Adjective
1511137	22.42	MAGIC	Religion and belief	The use of rituals or actions, especially based on supernatural or occult knowledge, to manipulate or obtain information about the natural world, especially when seen as falling outside the realm of religion; also the forces allegedly drawn on for such practices. A specific ritual or procedure associated with supernatural magic or with mysticism; a spell.	Noun
1366616	23.4	MAIL	Modern world	A batch of letters and parcels received via post.	Noun
1364993	1.26	MAINLAND	The physical world	A large and continuous mass of land representing most of a region or a country but excluding outlying islands.	Noun
157264	8.47	MAIZE	Agriculture and vegetation	A type of grain of the species Zea mays.	Noun
339200	9.111	MAKE	Basic actions and technology	To create something by combining or assembling materials or parts or by changing it.	Verb
6395	3.12	MALE	Animals	A member of the sex that begets young by fertilizing ova.	Adjective
6396	2.23	MALE	Kinship	Of, relating to, or denoting a member of the sex that begets young by fertilizing ova.	Adjective
6397	2.21	MAN	Kinship	An adult human member of the sex that begets young by fertilizing ova.	Noun
395809	8.92	MANIOC	Agriculture and vegetation	Shrub (Manihot esculenta) whose roots are rich in starch	Noun
1526633	5.983	MANIOC BREAD	Food and drink	Bread made of the roots of the cassava plant.	Noun
155620	17.49	MANNER	Cognition	Way of performing or effecting anything.	Noun
5423	13.15	MANY	Quantity	An indefinite large number of.	Function word
400028	3.44	MARE	Animals	An adult female horse.	Noun
2276	11.85	MARKET	Possession	Place of commercial activity in which articles are bought and sold.	Noun
1539796	2.38	MARRIED MAN	Kinship	A married man	Noun
1539812	2.39	MARRIED WOMAN	Kinship	a married woman	Noun
1411401	2.33	MARRY	Kinship	To enter marriage; to take a husband or a wife.	Verb
372205	7.61	MASON	The house	A craftsman who builds in stone or brick otherwise known as masonry.	Noun
1393299	10.87	MAST	Motion	Post of wood or steel, long, round and straight, standing on a ship, intended to carry the sails, flags, floodlights, or communications equipment.	Noun
1511091	19.41	MASTER	Social and political relations	Someone who has control over something or someone; the owner of an animal or slave or someone who employs others.	Noun
1405241	9.77	MAT	Basic actions and technology	A flat object laid on the floor to protect a person from the hard floor.	Noun
499237	1.87	MATCH	The physical world	A stick with inflammable substance on one end that can be set on fire by friction.	Noun
1188104	23.53	MATTRESS	Modern world	A pad on which a person can recline and sleep.	Noun
403676	5.91	MEAD	Food and drink	Wine made of honey.	Noun
6332	5.41	MEAL	Food and drink	Food that is prepared and eaten, usually at a specific time.	Noun
626882	12.54	MEASURE	Spatial relations	To ascertain the quantity of a unit of material via calculated comparison with respect to a standard.	Verb
2300	5.61	MEAT	Food and drink	The edible flesh of animals, especially that of mammals.	Noun
5919	4.88	MEDICINE	The body	A substance which specifically promotes healing.	Noun
7643	19.65	MEET	Social and political relations	To collect in one place, usually for a purpose.	Verb
1510584	7.18	MEETING HOUSE	The house	A building where people meet for a purpose.	Noun
1526639	7.16	MEN'S HOUSE	The house	A separate building for male persons.	Noun
470229	11.84	MERCHANT	Possession	A businessperson engaged in trade.	Noun
1026415	14.45	MIDDAY	Time	Time of day when the sun is in its zenith.	Noun
475332	12.37	MIDDLE	Spatial relations	Being in the midway between the ends.	Noun
1166811	5.87	MILK	Food and drink	To draw milk from (a mammal, especially a cow).	Verb
2358	5.86	MILK	Food and drink	The whitish fluid secreted by the mammary gland for the nourishment of the young; composed of carbohydrates, proteins, fats, mineral salts, vitamins, and antibodies.	Noun
2359	5.57	MILL	Food and drink	A building where grain is crushed into flour.	Noun
397763	8.911	MILLET	Agriculture and vegetation	A group of small-seeded species of cereal crops, widely grown around the world for food and fodder.	Noun
6418	17.11	MIND	Cognition	The ability for rational thought.	Noun
155405	23.32	MINISTER	Modern world	A person appointed to a high office in the government.	Noun
520838	6.96	MIRROR	Clothing and grooming	A smooth surface, usually made of glass with reflective material painted on the underside, that reflects light so as to give an image of what is in front of it.	Noun
1337987	20.63	MISS	Warfare and hunting	To fail to hit (a target, a bell, etc.).	Verb
5651	16.77	MISTAKE	Emotions and values	A mistake, an oversight, a slight; usually apologetic, referring to one's own failures.	Noun
451991	4.272	MOLAR TOOTH	The body	A tooth located in the back of the mouth used for crushing and grinding food.	Noun
1507122	9.72	MOLD	Basic actions and technology	To create something, usually for a specific function.	Verb
6992	14.63	MONDAY	Time	The first day of the week in Europe and in systems using the ISO 8601 norm; the second day of the week in the United States of America.	Noun
6408	11.43	MONEY	Possession	An unspecified amount in a currency.	Noun
5870	3.76	MONKEY	Animals	A primate from the group "New World monkeys" or "Old World monkeys" (Simiiformes, excluding the superfamily Hominoidea or apes) that lives mainly in rainforests and is distinguished from an Ape by its smaller size and its tail.	Noun
5914	14.71	MONTH	Time	A period into which a year is divided, historically based on the phases of the moon. In the Gregorian calendar there are twelve months.	Noun
5729	1.53	MOON	The physical world	A natural satellite of a planet.	Noun
950694	13.16	MORE	Quantity	[Used in forming the comparative form of many adjectives and almost all comparable adverbs.]	Function word
5840	14.44	MORNING	Time	The period of time from the start of the day (midnight) until midday (12:00).	Noun
1454028	5.58	MORTAR	Food and drink	A bowl used to crush and grind ingredients with a pestle.	Noun
703845	7.63	MORTAR	The house	Paste made of a mixture of a binder (cement, plaster or lime), sand and water used in masonry to make bricks, stones, etc. stick together.	Noun
6563	22.132	MOSQUE	Religion and belief	A place of worship for followers of the Islamic faith.	Noun
630453	3.832	MOSQUITO	Animals	A small flying insect (of the family Culicidae) known for biting and sucking blood.	Noun
5463	2.36	MOTHER	Kinship	A woman who has at least one child.	Noun
936024	2.511	MOTHER'S BROTHER	Kinship	The brother of someone’s mother.	Noun
1372595	2.521	MOTHER'S SISTER	Kinship	The sister of one's mother.	Noun
452350	2.62;2.621	MOTHER-IN-LAW	Kinship	The mother of someone's spouse.	Noun
1200	23.185	MOTOR	Modern world	A machine in which power is applied to do work by the conversion of various forms of energy into mechanical force and motion.	Noun
2414	23.135	MOTORCYCLE	Modern world	Single-track, two-wheeled motor vehicle.	Noun
2421	1.22	MOUNTAIN	The physical world	A feature of the earth's surface that rises high above the base and has generally steep slopes and a relatively small summit area.	Noun
6237	3.63	MOUSE	Animals	Any of numerous small rodents of the genus ''mus'' or various related genera of the ''Muridæ'' family characterised by a long hairless tail, rounded ears, and a pointed nose.	Noun
332000	4.24	MOUTH	The body	Opening in the lower half of a human face which is used for food ingestion and articulation.	Noun
343359	10.11	MOVE	Motion	To change the location of an object.	Verb
1431	23.62	MOVIE	Modern world	A sequence of animated images.	Noun
1403529	8.32	MOW	Agriculture and vegetation	To cut all [the grass, crop or any thin plants] of a surface area of the ground.	Verb
2428	1.214	MUD	The physical world	A mixture of clay and/or silt with water to form a plastic mass with a particle size preponderantly below 0.06 mm diameter. It is deposited in low-energy environments in lakes, estuaries and lagoons. It may also be deposited in deep-sea environments.(Source: WHIT)	Noun
377499	3.47	MULE	Animals	The offspring of a male donkey and a female horse.	Noun
1258410	18.16	MUMBLE	Speech and language	To speak unintelligibly and without articulating.	Verb
359371	21.42	MURDER	Law	The intentional or premeditated killing of another person.	Noun
2444	8.98	MUSHROOM	Agriculture and vegetation	An organism belonging to a family of Basidiomycetes that are characterized by the production of spores on gills.	Noun
2445	23.63	MUSIC	Modern world	The artistic organisation of sounds or tones that expresses ideas and emotions through the elements of rhythm, melody, harmony and tonal colour.	Noun
6856	4.96	MUTE	The body	Not making a sound.	Adjective
156863	9.5	NAIL	Basic actions and technology	A spike-shaped metal fastener used for joining wood or similar materials.	Noun
160368	4.99	NAKED	The body	Without clothing.	Adjective
5995	18.28	NAME	Speech and language	Any word or phrase which designates a particular person, place, class or thing.	Noun
5862	4.281	NAPE OF THE NECK	The body	The back part of the neck.	Noun
5566	12.62	NARROW	Spatial relations	Having a small width.	Adjective
1417428	4.232	NASAL MUCUS,SNOT	The body	Mucus from the nose.	Noun
1162698	19.12	NATIVE COUNTRY	Social and political relations	One’s country of birth.	Noun
7690	4.43	NAVEL	The body	A scar where the umbilical cord was attached.	Noun
869106	12.43	NEAR	Spatial relations	Not far distant in time or space or degree or circumstances.	Adverb
1538973	17.45	NECESSITY	Cognition	Something that needs to be done.	Noun
5823	4.28	NECK	The body	The part of the body (found in some animals, including humans) that connects the head and the trunk.	Noun
900585	6.75	NECKLACE	Clothing and grooming	An article of jewelry that is worn around the neck.	Noun
2497	17.45	NEED	Cognition	The fact or an instance of feeling the lack of something.	Noun
1506160	8.993	NEEDLE	Agriculture and vegetation	A needle of coniferous tree	Noun
5951	6.36	NEEDLE	Clothing and grooming	A thin, sharp implement used in sewing, knitting and acupuncture.	Noun
5820	19.54	NEIGHBOUR	Social and political relations	A person living in a house that is adjacent or nearby another person's house.	Noun
454945	2.53	NEPHEW	Kinship	A child of someone's brother or sister.	Noun
957309	3.58	NEST	Animals	To build or settle into a nest.	Noun
1507431	9.78	NETBAG	Basic actions and technology	Bag made of net used to carry things	Noun
1072992	8.97	NETTLE	Agriculture and vegetation	The common name for between 30-45 species of flowering plants with a cosmopolitan though mainly temperate distribution. They are mostly herbaceous perennial plants, but some are annual and a few are shrubby.	Noun
6814	14.34	NEVER	Time	At no time.	Function word
5484	14.13	NEW	Time	Recently made, created or begun.	Adjective
5668	23.6	NEWSPAPER	Modern world	A publication (usually published daily or weekly and printed on cheap, low-quality paper) that contains news and other articles.	Noun
5875	24.12	NEXT	Miscellaneous function words	Following in a sequence.	Function word
6735	2.54	NIECE	Kinship	A daughter of someone’s brother or sister.	Noun
5486	14.42	NIGHT	Time	The period between sunset and sunrise, when a location faces far away from the sun, thus when the sky is dark.	Noun
6193	13.09	NINE	Quantity	The ninth natural number (9).	Function word
348030	4.412	NIPPLE	The body	The projection of a mammary gland from which, on female mammals, milk can be secreted.	Noun
1505748	3.812	NIT	Animals	An egg of a louse that is sometimes found in people's hair.	Noun
